success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,payoff,volatility,uncertainty,transition_prob,counterbalance,resample_fish,rt,stimulus,response,trial_name,task_type,phase,stakes,frame_color,reward_multiplier,available_boats,boat_chosen_id,boat_chosen_name,reward,cumulative_reward,fish_caught_id,fish_caught_name,valuable_fish_id,valuable_fish_name,day,accuracy,participant_id
True,False,[],[],[],preload,0,41586,0.0-0.0,1,0.1538461538461538,Certain,"[[0.8,0.2,0],[0,0.8,0.2],[0.2,0,0.8]]",0,6.5,,,,,,,,,,,,,,,,,,,,,QJ0BP
,,,,,html-button-response,1,73424,0.0-1.0,1,0.1538461538461538,Certain,"[[0.8,0.2,0],[0,0.8,0.2],[0.2,0,0.8]]",0,6.5,31827.0,"
      <div style=""max-width: 900px; margin: 0 auto;"">
        <p><strong>Please consider the following information carefully before deciding whether to participate in this research.</strong></p>
        <p>The purpose of this study is to examine how people make decisions. You will be asked to answer some questions about a situation described to you. The study will take approximately <strong>26 minutes</strong> to complete. You will receive at least <strong>$4.5</strong>. In addition, you can receive a bonus ranging between <strong>$0 and $3.75</strong> based on your performance in the study. Overall, you can receive up to <strong>$8.25</strong> on Prolific.</p>
        <p>There are no anticipated risks associated with participating in this study. There are no direct benefits to you for taking part in this study. The effects of participating should be comparable to those you would ordinarily experience from viewing a computer monitor and using a mouse or keyboard for a similar amount of time. At the end of the study, we will provide an explanation of the questions that motivate this line of research and will describe the potential implications.</p>
        <p>Your participation in this study is completely voluntary and you may refuse to participate or you may choose to withdraw at any time without penalty or loss of benefits to which you are otherwise entitled.</p>
        <p>Your participation in this study will remain confidential. No personally identifiable information will be associated with your data. All participants' answers will be aggregated, so your individual responses will not be analyzed (except for any feedback you choose to provide). Please do not enter any sensitive or personally identifiable information in a free text answer.</p>
        <p>If you have questions or concerns about your participation or payment or want to request a summary of research findings, please contact the student conducting this research: <a href=""mailto:ariellevy@g.harvard.edu"">Ariel Levy</a>. For any other problems related to this study, you may also contact the faculty member supervising this work: <a href=""mailto:cushman@fas.harvard.edu"">Fiery Cushman</a>. For questions, concerns, suggestions, or complaints that have not been or cannot be addressed by the researcher, or to report research-related harm, please contact the Committee on the Use of Human Subjects in Research at Harvard University by phone at 617-496-2847 or by <a href=""mailto:cuhs@harvard.edu"">email</a>. Please print or save a copy of this form for your records.</p>
      </div>",0,instructions,,,,,,,,,,,,,,,,,QJ0BP
,,,,,html-button-response,2,100035,0.0-2.0,1,0.1538461538461538,Certain,"[[0.8,0.2,0],[0,0.8,0.2],[0.2,0,0.8]]",0,6.5,26608.0,"
    <div style=""max-width: 800px; margin: 0 auto;"">
      <img src='img/misthaven.png' width='800' height='auto'></img>
      <h3>Welcome to Misthaven!</h3>
      <p>You've just moved to Misthaven, a charming lake town where fishing is the heart of the local economy. While you don't have any prior fishing experience, <strong>you know that becoming a successful fisher is crucial for your new life here.</strong></p>
      <p>To become successful, you need to know which fish fetch the best price in the market on any given day, and which boats give you the best chance of catching those fish. </p>
    </div>",0,welcome,,,,,,,,,,,,,,,,,QJ0BP
,,,,,html-button-response,3,156090,0.0-3.0,1,0.1538461538461538,Certain,"[[0.8,0.2,0],[0,0.8,0.2],[0.2,0,0.8]]",0,6.5,56050.0,"
    <div style=""max-width: 900px; margin: 0 auto;"">
      <h3>The Fish of Misthaven Lake</h3>
      <p>Three species of fish make their home in different parts of Misthaven's waters:</p>
      
      <div style=""display: flex; justify-content: space-around; margin: 20px 0;"">
        <div style=""text-align: center;"">
          <img src='img/fish_blue.png' width='auto' height='180px'></img>
          <p><strong>Locona</strong></p>
        </div>
        <div style=""text-align: center;"">
          <img src='img/fish_green.png' width='auto' height='180px'></img>
          <p><strong>Addish</strong></p>
        </div>
        <div style=""text-align: center;"">
          <img src='img/fish_red.png' width='auto' height='180px'></img>
          <p><strong>Whuffey</strong></p>
        </div>
      </div>
      
      <p>The market value of these fish changes regularly. Each day, <strong>only one species brings a good price</strong> at the market. Experienced fishers know which fish is valuable on any given day and choose their fishing spots accordingly.</p>
      
      <p>The valuable fish species <strong>changes from time to time</strong>, as different fish become more in demand at the market.</p>
    </div>",0,fish_info,,,,,,,,,,,,,,,,,QJ0BP
,,,,,html-button-response,4,199890,0.0-4.0,1,0.1538461538461538,Certain,"[[0.8,0.2,0],[0,0.8,0.2],[0.2,0,0.8]]",0,6.5,43795.0,"
    <div style=""max-width: 900px; margin: 0 auto;"">
      <h3>The Fishing Boats of Misthaven</h3>
      <p>Three types of boats are available at the harbor, each designed for different fishing grounds:</p>
      
      <div style=""display: flex; justify-content: space-around; margin: 20px 0;"">
        <div style=""text-align: center; width: 30%;"">
          <img src=""img/boat_wood.png"" width='250' height='auto'></img>
          <p><strong>The Wooden Boat</strong><br>
          Built for shallow reeds where Locona thrive<br>
          <span style=""font-size: 0.9em;"">
            80% chance for catching Locona<br>
            20% chance for catching Addish passing through
          </span></p>
        </div>

        <div style=""text-align: center; width: 30%;"">
          <img src=""img/boat_white.png"" width='250' height='auto'></img>
          <p><strong>The White Boat</strong><br>
          Perfect for deep waters where Addish gather<br>
          <span style=""font-size: 0.9em;"">
            80% chance for catching Addish<br>
            20% chance for catching Whuffey migrating through
          </span></p>
        </div>

        <div style=""text-align: center; width: 30%;"">
          <img src=""img/boat_metal.png"" width='250' height='auto'></img>
          <p><strong>The Metal Boat</strong><br>
          Designed for rocky outcrops where Whuffey hide<br>
          <span style=""font-size: 0.9em;"">
            80% chance for catching Whuffey<br>
            20% chance for catching Locona wandering through
          </span></p>
        </div>
      </div>

      <p>Each day, you'll need to choose your boat carefully. While each boat is best suited for catching a specific fish, it might also catch a second type that passes through those waters!</p>
    </div>",0,boat_info,,,,,,,,,,,,,,,,,QJ0BP
,,,,,html-button-response,5,213704,0.0-5.0,1,0.1538461538461538,Certain,"[[0.8,0.2,0],[0,0.8,0.2],[0.2,0,0.8]]",0,6.5,13810.0,"
    <div style=""max-width: 900px; margin: 0 auto;"">
      <h3>Let's Start Your Fishing Training!</h3>
      <p>First, you'll learn how different boats help you catch different fish. In this phase:</p>
      <ul>
        <li>You'll be told which fish is valuable each day</li>
        <li>All three boats will be available</li>
        <li>You'll get immediate feedback on your catches</li>
      </ul>
      <p>Ready to start practicing?</p>
    </div>",0,,,,,,,,,,,,,,,,,,QJ0BP
,,,,,fishBanditPlugin,6,227797,0.0-6.0,1,0.1538461538461538,Certain,"[[0.8,0.2,0],[0,0.8,0.2],[0.2,0,0.8]]",0,6.5,14081.400000095367,,1,fish_bandit_trial_1,train,training,low,gray,10.0,"[0,2,1]",1.0,White Boat,10.0,10.0,1.0,Addish,1.0,Addish,1.0,,QJ0BP
,,,,,html-button-response,7,235806,0.0-7.0,1,0.1538461538461538,Certain,"[[0.8,0.2,0],[0,0.8,0.2],[0.2,0,0.8]]",0,6.5,8005.0,"
        <div class=""feedback-container"" style=""text-align: center;"">
          <h3>Fishing Results</h3>
          <div style=""text-align: center;"">
            <p>You caught: <strong>Addish</strong></p><br>
            <img src='img/fish_green.png' style='width: 150px; height: auto; margin: 10px;'></img>
          </div><p>You managed to sell your fish for <strong>10 coins</strong>.</p>
          <p>Overall, you have earned <strong>10 coins</strong>.</p></div>",0,feedback_1,,,,,,,,,,,,,,,,,QJ0BP
,,,,,fishBanditPlugin,8,251059,0.0-8.0,1,0.1538461538461538,Certain,"[[0.8,0.2,0],[0,0.8,0.2],[0.2,0,0.8]]",0,6.5,15249.0,,1,fish_bandit_trial_2,train,training,low,gray,10.0,"[0,1,2]",1.0,White Boat,0.0,10.0,2.0,Whuffey,1.0,Addish,2.0,,QJ0BP
,,,,,html-button-response,9,254634,0.0-9.0,1,0.1538461538461538,Certain,"[[0.8,0.2,0],[0,0.8,0.2],[0.2,0,0.8]]",0,6.5,3572.0,"
        <div class=""feedback-container"" style=""text-align: center;"">
          <h3>Fishing Results</h3>
          <div style=""text-align: center;"">
            <p>You caught: <strong>Whuffey</strong></p><br>
            <img src='img/fish_red.png' style='width: 150px; height: auto; margin: 10px;'></img>
          </div><p>You managed to sell your fish for <strong>0 coins</strong>.</p>
          <p>Overall, you have earned <strong>10 coins</strong>.</p></div>",0,feedback_2,,,,,,,,,,,,,,,,,QJ0BP
