participant_id,beta
JZXE2,0.7030345038895592
U3HYL,0.48583633882596733
6DPYL,0.5003573778465247
4NDHY,0.6537581591478486
B466E,0.3686554937989459
E6C05,1.1095829390408314
F1277,1.9542651151183341
XHM1L,0.4001207521898437
L89XW,0.3794715379563858
ZJAY6,1.6675504790033577
OP3DU,0.7339575244805575
DKX7L,0.34429386041481413
5L2YO,0.3551247307291059
TCT2Q,0.5690964388515146
0GG61,0.756374591201166
66ATA,0.6110507954147738
2KEQY,0.9615644710209225
H7XCH,0.33782333680764154
CVQMQ,0.4057916274859538
D2297,0.4568685479363726
D1A08,1.423282801079045
1SRXZ,0.4956218207936471
1GDGT,0.6143031461538816
QTUE2,0.5543114388791686
8TCMM,0.5231658046043224
9DY7I,0.7601508303263255
K3F0B,1.5574901265779033
35TKM,0.5808466324979121
HKS1J,0.9224555285296436
O3P4O,0.44326607619355884
I6X0O,0.6778779821330583
R7EQD,0.8711040410810525
M8ZK6,0.6075049198344816
J813K,0.48983454914204383
KOAT7,0.3164414085639829
7Y3K3,0.523095591050535
ZK3UD,0.7643973269857738
DXDRP,0.9542349031705873
41LUV,0.589772289352013
WYSEU,1.0369656837424759
XKY36,1.0430267068235746
LI66P,0.8387571541794158
I4039,0.5897419341922882
9RU8K,0.260056754164426
MBN2S,0.5176164597143011
JC446,1.2842206639725913
S4KVU,1.5307994679880677
1AR3D,0.6037166831952289
9DB53,0.5381428671692101
PW2SP,0.4680798475875484
Q1ZIB,0.30695086576983577
GWZBQ,0.5300650142499377
SMZVB,2.2769053800249988
IZYHD,0.37408224963541997
EVMBS,0.576017827967079
VFQR1,0.5356063134098974
L2D1C,0.5061695070624818
PBOB1,0.8387328784354874
PPAIO,0.9056751485073689
FTJZ7,0.5691291748279109
DJ5BU,0.5691147341352027
0RHYB,0.6036768895159671
Q3A3A,0.5736964658177797
2POVK,0.6303091768314019
S7SAG,0.6518585508487796
UDMEL,0.5543387675448272
7EXI7,0.3943939783289531
P1ZPF,0.703087225321354
OVZWZ,0.7030024808806152
IY7FM,0.4591909768066317
502K9,0.38861779536074464
5RUQS,1.3361565473982693
2HF4P,0.5897306940300893
O68IY,0.4235623230395549
DMFJH,0.753059327702896
ABDOQ,0.3632282507734747
VXZNP,0.702096458878679
W78XF,0.4118091828921186
HC5I4,1.1822599447301683
XPT9E,0.45687086383361875
LDCYF,0.34628806064575307
H0F56,0.5003686238279687
8VOI9,0.5003651803764443
4V621,0.5641837898279175
T5YX0,0.5057397228907143
T5NW2,0.7693123308914385
VA7XX,0.5854265015477199
RQNEN,0.6771137127358334
SBTZA,0.3045603954009355
UPQJ3,0.4292984388509768
KTN0P,0.3999575150451952
O0NDG,0.4448643189283895
84I7P,1.017090339152198
6F23B,0.7035769931640038
OTTAZ,0.6762929412285175
W0ZZR,0.9402870052354311
QJ0BP,0.34627428029010554
U0CHP,0.677125148306584
14UKF,0.46520479453492675
UWK90,0.9367088137749147
2U1VD,0.52313739157716
SR4J8,1.076547915431103
R0OML,0.5736459938783846
XCKAB,0.42356023337866683
EDUIU,0.5691279065811894
A9HCW,0.7315618711953493
EAD2E,1.1822599133488214
MYLSD,0.9402937352511234
HQE1Q,0.9367255876990354
3QI5S,0.703628253020391
BEGLQ,0.9858070363511395
AJKUD,0.8269768512939109
TU4VW,0.7954514760551175
H449V,0.36440500404456533
Q2W8L,0.8905680936255378
VCQO8,0.7601342960227556
NPZQW,0.954225507564843
LCF03,0.5407823637962499
BIG4F,0.7954485374487806
HFFJD,0.6785852398517415
F7I4C,0.4898004020630453
V7LG7,0.7643765172554355
2MZGN,0.4652097210937482
DCHH5,0.5642356479648974
5QSO5,0.611046709406863
ZZCW3,0.702994222447122
HRXY4,0.7294963000122425
137K2,0.3749724921888892
99MGS,0.6036399043356788
866VA,0.45917583748871266
D2JNN,0.48798872324519094
NXIUQ,0.9747693034013137
ZOGS6,0.7891755241871844
0PP80,0.4741258365915626
IC9FM,0.8480136182565674
MXTJ5,2.064086864004084
SETLH,0.3590885348134935
M4V9H,0.5854667868863759
GBITS,0.4801044650328455
DUZXB,0.5641805707763426
J77EZ,0.7644504824967061
PD91I,0.6792273725656905
L7UTX,0.4058024440300913
